Rep,TrtNo,TrtNameT1,TrtNameFull,Pot Mass Before Watering (g),Target Pot Mass at 70% SWD (g),NoLeaves,LLL,GermDate
1,1,control,T1 control/T2 control,128.5,73.86,12,12.2,45338
1,2,se,T1 SE/T2 control,127.4,70.32,12,16.1,45336
1,3,le,T1 LE/T2 control,123.2,71.7,12,15,45338
1,4,sl,T1 SL/T2 control,133,74.02,6,13.9,45350
1,5,ll,T1 LL/T2 control,166.5,78.03,,,
1,6,control,T1 control/T2 short,129.1,71.41,11,16.2,45338
1,7,se,T1 SE/T2 short,131.1,77.16,13,16.3,45338
1,8,le,T1 LE/T2 short,131.9,75.73,18,15.6,45341
1,9,sl,T1 SL/T2 short,128.6,76.55,13,16.6,45336
1,10,ll,T1 LL/T2 control,152.7,69.49,,,
1,11,control,T1 control/T2 long,167.3,75.05,,,
1,12,se,T1 SE/T2 long,132.2,72.83,13,16.7,45336
1,13,le,T1 LE/T2 long,137.9,77.42,11,16.3,45341
1,14,sl,T1 SL/T2 long,154.6,74.74,,,
1,15,ll,T1 LL/T2 long,130.4,74.55,13,15.4,45336
2,1,control,T1 control/T2 control,132,71.02,11,14,45341
2,2,se,T1 SE/T2 control,125.1,73.88,12,14.3,45338
2,3,le,T1 LE/T2 control,124.9,74.2,14,14.7,45336
2,4,sl,T1 SL/T2 control,131.2,76.16,13,14.5,45336
2,5,ll,T1 LL/T2 control,124.7,71.89,15,15.5,45336
2,6,control,T1 control/T2 short,137.2,75.63,12,13.5,45338
2,7,se,T1 SE/T2 short,126,68.99,11,14.1,45338
2,8,le,T1 LE/T2 short,124.9,77.92,12,14.6,45338
2,9,sl,T1 SL/T2 short,178.3,78.81,,,
2,10,ll,T1 LL/T2 control,160.9,75.08,,,
2,11,control,T1 control/T2 long,136.7,73.5,11,13.2,45341
2,12,se,T1 SE/T2 long,129.5,72.69,11,13.3,45336
2,13,le,T1 LE/T2 long,121.3,71.99,13,13.8,45338
2,14,sl,T1 SL/T2 long,133,73.46,13,15.7,45343
2,15,ll,T1 LL/T2 long,167.9,75.94,,,
3,1,control,T1 control/T2 control,141.5,77.48,11,15.6,45341
3,2,se,T1 SE/T2 control,127.7,73.09,12,16.5,45336
3,3,le,T1 LE/T2 control,121,75.45,14,14.5,45341
3,4,sl,T1 SL/T2 control,142.9,73.66,6,13.3,45352
3,5,ll,T1 LL/T2 control,124.4,69.74,11,14.6,45341
3,6,control,T1 control/T2 short,132.5,74.46,12,16,45338
3,7,se,T1 SE/T2 short,131.1,73.3,18,17.6,45338
3,8,le,T1 LE/T2 short,119.4,71.14,13,16.7,45336
3,9,sl,T1 SL/T2 short,125.6,72.09,13,14.7,45338
3,10,ll,T1 LL/T2 control,119,74.64,14,16.1,45338
3,11,control,T1 control/T2 long,122.9,76.62,9,16.2,45345
3,12,se,T1 SE/T2 long,119.3,73.45,13,15.5,45338
3,13,le,T1 LE/T2 long,133.2,77.61,13,14.8,45336
3,14,sl,T1 SL/T2 long,134.3,78.04,13,14.4,45336
3,15,ll,T1 LL/T2 long,165.3,77.3,5,8.4,45345
4,1,control,T1 control/T2 control,151.4,72.94,,,
4,2,se,T1 SE/T2 control,123.9,76.25,12,16.3,45338
4,3,le,T1 LE/T2 control,136.6,77.03,12,15.3,45336
4,4,sl,T1 SL/T2 control,125.6,70.45,9,17.2,45343
4,5,ll,T1 LL/T2 control,129.3,74.27,14,16.7,45336
4,6,control,T1 control/T2 short,154.9,74.73,,,
4,7,se,T1 SE/T2 short,121.5,74.71,13,15.5,45338
4,8,le,T1 LE/T2 short,119.5,74.73,12,13.8,45336
4,9,sl,T1 SL/T2 short,121.2,73.8,12,14.8,45336
4,10,ll,T1 LL/T2 control,155.4,71.73,,,
4,11,control,T1 control/T2 long,131.6,75.74,11,15.7,45341
4,12,se,T1 SE/T2 long,133.3,76.9,12,15.6,45338
4,13,le,T1 LE/T2 long,130.7,77.24,11,15.4,45338
4,14,sl,T1 SL/T2 long,126.9,72.33,17,14.6,45338
4,15,ll,T1 LL/T2 long,134.1,74.86,13,15.3,45341
5,1,control,T1 control/T2 control,174,75.52,,,
5,2,se,T1 SE/T2 control,125.5,72.17,13,17.4,45338
5,3,le,T1 LE/T2 control,129.9,73.75,9,15.2,45336
5,4,sl,T1 SL/T2 control,119.8,76.82,13,17.2,45338
5,5,ll,T1 LL/T2 control,133.3,76.86,14,16.5,45338
5,6,control,T1 control/T2 short,134.8,73.71,11,15.1,45338
5,7,se,T1 SE/T2 short,113.1,71.5,14,16.9,45338
5,8,le,T1 LE/T2 short,136.1,80.49,13,15.3,45338
5,9,sl,T1 SL/T2 short,128.9,77.61,16,15.1,45341
