Rep,TrtNo,TrtNameFull,TrtNameT1,MassBefore,MassTarget,MassAfter,Ht,NoLeaves,LLL,Slouch
1,1,T1 control/T2 control,Control,142.4,73.86,159.1,8,7,8.3,Y
1,2,T1 SE/T2 control,SE,132,70.32,153.9,9.4,9,9.6,Y
1,3,T1 LE/T2 control,LE,137.9,71.7,156.4,8.5,7,8.6,Y
1,4,T1 SL/T2 control,SL,61.5,74.02,74.6,4.4,2,1.8,N
1,5,T1 LL/T2 control,LL,67.9,78.03,78.6,,,,
1,6,T1 control/T2 short,Control,136.1,71.41,153.3,8.5,7,8.5,Y
1,7,T1 SE/T2 short,SE,143.8,77.16,164.4,7.6,8,7.9,Y
1,8,T1 LE/T2 short,LE,138.2,75.73,164.1,9.4,7,10,Y
1,9,T1 SL/T2 short,SL,59.7,76.55,76.9,9.4,7,8.4,Y
1,10,T1 LL/T2 control,LL,60,69.49,69.8,,,,
1,11,T1 control/T2 long,Control,156.6,75.05,167.1,,,,
1,12,T1 SE/T2 long,SE,137.9,72.83,160.2,9.6,8,9.9,Y
1,13,T1 LE/T2 long,LE,149.5,77.42,169.3,7.4,7,8.5,Y
1,14,T1 SL/T2 long,SL,63.2,74.74,143.5,,,,
1,15,T1 LL/T2 long,LL,58.2,74.55,74.7,7.8,7,7.8,Y
2,1,T1 control/T2 control,Control,142.9,71.02,160.5,7.5,6,7.8,Y
2,2,T1 SE/T2 control,SE,133.6,73.88,157.9,8.4,8,9.8,Y
2,3,T1 LE/T2 control,LE,132.8,74.2,158.3,10.3,9,11.8,Y
2,4,T1 SL/T2 control,SL,138.3,76.16,158.7,7.3,7,7.7,Y
2,5,T1 LL/T2 control,LL,57.7,71.89,73.6,6,7,7,Y
2,6,T1 control/T2 short,Control,153.8,75.63,172.5,6.9,7,7.2,Y
2,7,T1 SE/T2 short,SE,132.8,68.99,152.6,8,8,9.3,Y
2,8,T1 LE/T2 short,LE,147.3,77.92,172.9,7.9,8,8.6,Y
2,9,T1 SL/T2 short,SL,72.4,78.81,78.9,,,,
2,10,T1 LL/T2 control,LL,63.4,75.08,76.1,,,,
2,11,T1 control/T2 long,Control,151.4,73.5,167.1,6.4,6,6.4,Y
2,12,T1 SE/T2 long,SE,133.6,72.69,151.7,8.5,8,9.5,Y
2,13,T1 LE/T2 long,LE,134.9,71.99,155,8.2,7,9.1,N
2,14,T1 SL/T2 long,SL,61.1,73.46,74,6.2,5,5.5,N
2,15,T1 LL/T2 long,LL,68,75.94,76.7,,,,
3,1,T1 control/T2 control,Control,154.4,77.48,172.8,7.9,6,8.5,Y
3,2,T1 SE/T2 control,SE,137.3,73.09,159.6,10.1,8,10.5,N
3,3,T1 LE/T2 control,LE,135.9,75.45,162,8.7,8,9.8,Y
3,4,T1 SL/T2 control,SL,63.6,73.66,73.7,3,2,0.2,N
3,5,T1 LL/T2 control,LL,56.4,69.74,69.8,6.4,6,6.4,Y
3,6,T1 control/T2 short,Control,149.2,74.46,167.1,8.9,8,9.8,Y
3,7,T1 SE/T2 short,SE,136.8,73.3,163.3,11.6,9,10.9,Y
3,8,T1 LE/T2 short,LE,130.6,71.14,157.3,10.3,8,10.1,N
3,9,T1 SL/T2 short,SL,134,72.09,155.7,7.1,7,6.7,Y
3,10,T1 LL/T2 control,LL,54.6,74.64,151.4,8.2,7,8.5,Y
3,11,T1 control/T2 long,Control,152.7,76.62,167.2,5.2,4,4.3,N
3,12,T1 SE/T2 long,SE,136.2,73.45,160,9.2,7,9.9,N
3,13,T1 LE/T2 long,LE,144.4,77.61,171,9.1,8,11,Y
3,14,T1 SL/T2 long,SL,142.8,78.04,163.2,8.6,7,8,Y
3,15,T1 LL/T2 long,LL,68,77.3,78.1,0.9,2,1.4,N
